[2026-03-09 18:29:39.000000] [CRITICAL] Fatal Error: Cannot redeclare redirect() (previously declared in C:\xampp\htdocs\v1\includes\config.php:110) | File: logger.php:85 | User: guest | {"fatal_error":true,"type":64,"file":"C:\\xampp\\htdocs\\v1\\includes\\helpers.php","line":374}
[2026-03-09 18:30:39.000000] [CRITICAL] Fatal Error: Cannot redeclare redirect() (previously declared in C:\xampp\htdocs\v1\includes\config.php:110) | File: logger.php:85 | User: guest | {"fatal_error":true,"type":64,"file":"C:\\xampp\\htdocs\\v1\\includes\\helpers.php","line":374}
[2026-03-09 18:30:41.000000] [CRITICAL] Fatal Error: Cannot redeclare redirect() (previously declared in C:\xampp\htdocs\v1\includes\config.php:110) | File: logger.php:85 | User: guest | {"fatal_error":true,"type":64,"file":"C:\\xampp\\htdocs\\v1\\includes\\helpers.php","line":374}
[2026-03-09 18:32:16.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
[2026-03-09 18:32:17.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
[2026-03-09 18:32:17.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
[2026-03-09 18:32:25.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
[2026-03-09 18:32:25.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
[2026-03-09 18:32:25.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
[2026-03-09 18:44:53.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
[2026-03-09 18:44:53.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
[2026-03-09 18:44:53.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
[2026-03-09 18:45:23.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
[2026-03-09 18:45:23.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
